ADD,EPA,District ,Market,Month,Year,Commodity,Price
Blantyre,Mbulumbuzi,Chiradzulu,Chiradzulu,February,2024,Soya beans,1975.41
Blantyre,Lunzu,Blantyre,Lunzu,February,2024,Soya beans,
Blantyre,Mtonda,Blantyre,Limbe,February,2024,Soya beans,
Blantyre,Dwale,Thyolo,Bvumbwe,February,2024,Soya beans,
Blantyre,Nkhonjeni,Thyolo,Luncheza,February,2024,Soya beans,
Blantyre,Mwanza,Mwanza,Mwanza,February,2024,Soya beans,1209.31
Blantyre,Neno,Neno,Neno,February,2024,Soya beans,1300
Blantyre,Nkhulambe,Phalombe,Chiringa,February,2024,Soya beans,
Blantyre,Naminjiwa,Phalombe,Phalombe,February,2024,Soya beans,2200
Blantyre,Milonde,Mulanje,Muloza,February,2024,Soya beans,
Shirevalley,Mitole,Chikwawa,Chikhwawa,February,2024,Soya beans,1500
Shirevalley,Mikalango,Chikwawa,Ngabu,February,2024,Soya beans,
Shirevalley,Mbewe,Chikwawa,Nchalo,February,2024,Soya beans,1600
Shirevalley,Magoti,Nsanje,Bangula,February,2024,Soya beans,
Shirevalley,Zunde,Nsanje,Nsanje,February,2024,Soya beans,
Karonga,Misuku,Chitipa,Misuku,March,2024,Soya beans,730.81
Karonga,Kavukuku,Chitipa,Nthalire,March,2024,Soya beans,
Karonga,Lufita,Chitipa,Chitipa,March,2024,Soya beans,
Karonga,Mpata,Karonga,Karonga,March,2024,Soya beans,1170.86
Karonga,Vinthukutu,Karonga,Chilumba,March,2024,Soya beans,
Mzuzu,Bolero,Rumphi,Rumphi,March,2024,Soya beans,927.07
Mzuzu,Katowo,Rumphi,Hewe,March,2024,Soya beans,
Mzuzu,Emsizini,Mzimba North,Mzuzu,March,2024,Soya beans,
Mzuzu,Kazomba,Mzimba South,Mzimba,March,2024,Soya beans,1518.84
Mzuzu,Mbawa,Mzimba South,Embangweni,March,2024,Soya beans,1336.4
Mzuzu,Champhira,Mzimba South,Jenda,March,2024,Soya beans,820.4
Mzuzu,Mpamba,Nkhata Bay,Mpamba,March,2024,Soya beans,
Mzuzu,Nkhata Bay,Nkhata Bay,Nkhata Bay,March,2024,Soya beans,
Mzuzu,Chintheche,Nkhata Bay,Chintheche,March,2024,Soya beans,
Salima,Nkhunga,Nkhotakota,Dwangwa,March,2024,Soya beans,1300
Salima,Linga,Nkhotakota,Nkhotakota,March,2024,Soya beans,
Salima,Mwansambo,Nkhotakota,Mwansambo,March,2024,Soya beans,
Salima,Tembwe,Salima,Salima,March,2024,Soya beans,1500
Kasungu,Chikwatula,Ntchisi,Ntchisi,March,2024,Soya beans,986.7
Kasungu,Malomo,Ntchisi,Malomo,March,2024,Soya beans,
Kasungu,Nachisaka,Dowa East,Dowa,March,2024,Soya beans,1000
Kasungu,Mponela,Dowa West,Mponela,March,2024,Soya beans,800
Kasungu,Madisi,Dowa West,Madisi,March,2024,Soya beans,
Kasungu,Bowe,Dowa West,Bowe,March,2024,Soya beans,
Kasungu,Nambuma,Dowa West,Nambuma,March,2024,Soya beans,
Kasungu,Santhe,Kasungu,Santhe,March,2024,Soya beans,700
