ADD,EPA,District ,Market,Month,Year,Commodity,Price
Machinga,Thondwe,Zomba,Thondwe,April,2024,Beans,
Blantyre,Mbulumbuzi,Chiradzulu,Chiradzulu,April,2024,Beans,3575.47
Blantyre,Lunzu,Blantyre,Lunzu,April,2024,Beans,2983.88
Blantyre,Mtonda,Blantyre,Limbe,April,2024,Beans,
Blantyre,Dwale,Thyolo,Bvumbwe,April,2024,Beans,3000
Blantyre,Nkhonjeni,Thyolo,Luncheza,April,2024,Beans,2630
Blantyre,Mwanza,Mwanza,Mwanza,April,2024,Beans,3800
Blantyre,Neno,Neno,Neno,April,2024,Beans,2040
Blantyre,Nkhulambe,Phalombe,Chiringa,April,2024,Beans,
Blantyre,Naminjiwa,Phalombe,Phalombe,April,2024,Beans,
Blantyre,Milonde,Mulanje,Muloza,April,2024,Beans,
Shirevalley,Mitole,Chikwawa,Chikhwawa,April,2024,Beans,3500
Shirevalley,Mikalango,Chikwawa,Ngabu,April,2024,Beans,3600
Shirevalley,Mbewe,Chikwawa,Nchalo,April,2024,Beans,3500
Shirevalley,Magoti,Nsanje,Bangula,April,2024,Beans,
Shirevalley,Zunde,Nsanje,Nsanje,April,2024,Beans,
Karonga,Misuku,Chitipa,Misuku,May,2024,Beans,
Karonga,Kavukuku,Chitipa,Nthalire,May,2024,Beans,
Karonga,Lufita,Chitipa,Chitipa,May,2024,Beans,
Karonga,Mpata,Karonga,Karonga,May,2024,Beans,1985.23
Karonga,Vinthukutu,Karonga,Chilumba,May,2024,Beans,2131.88
Mzuzu,Bolero,Rumphi,Rumphi,May,2024,Beans,2145.78
Mzuzu,Katowo,Rumphi,Hewe,May,2024,Beans,
Mzuzu,Emsizini,Mzimba North,Mzuzu,May,2024,Beans,
Mzuzu,Kazomba,Mzimba South,Mzimba,May,2024,Beans,2436.45
Mzuzu,Mbawa,Mzimba South,Embangweni,May,2024,Beans,3108.4
Mzuzu,Champhira,Mzimba South,Jenda,May,2024,Beans,2527.2
Mzuzu,Mpamba,Nkhata Bay,Mpamba,May,2024,Beans,
Mzuzu,Nkhata Bay,Nkhata Bay,Nkhata Bay,May,2024,Beans,1336.486
Mzuzu,Chintheche,Nkhata Bay,Chintheche,May,2024,Beans,2372.84
Salima,Nkhunga,Nkhotakota,Dwangwa,May,2024,Beans,3200
Salima,Linga,Nkhotakota,Nkhotakota,May,2024,Beans,1700
Salima,Mwansambo,Nkhotakota,Mwansambo,May,2024,Beans,1850
Salima,Tembwe,Salima,Salima,May,2024,Beans,
Kasungu,Chikwatula,Ntchisi,Ntchisi,May,2024,Beans,2483.3
Kasungu,Malomo,Ntchisi,Malomo,May,2024,Beans,1200
Kasungu,Nachisaka,Dowa East,Dowa,May,2024,Beans,2724
Kasungu,Mponela,Dowa West,Mponela,May,2024,Beans,
Kasungu,Madisi,Dowa West,Madisi,May,2024,Beans,
Kasungu,Bowe,Dowa West,Bowe,May,2024,Beans,
Kasungu,Nambuma,Dowa West,Nambuma,May,2024,Beans,2980
Kasungu,Santhe,Kasungu,Santhe,May,2024,Beans,2200
Kasungu,Chipala,Kasungu,Kasungu,May,2024,Beans,3200
Kasungu,Chamama,Kasungu,Chamama,May,2024,Beans,2733.33
Kasungu,Kaluluma,Kasungu,Nkhamenya,May,2024,Beans,1900
Kasungu,Kaluluma,Kasungu,Chatoloma,May,2024,Beans,3068.02
Kasungu,Mkanda,Mchinji,Mkanda,May,2024,Beans,3633.3
Kasungu,Zulu,Mchinji,Mchinji,May,2024,Beans,
Lilongwe,Chilaza,Lilongwe West,Msundwe,May,2024,Beans,4000
Lilongwe,Demera,Lilongwe West,Kasiya,May,2024,Beans,
Lilongwe,Chitsime,Lilongwe East,Lilongwe,May,2024,Beans,3800
Lilongwe,Mitundu,Lilongwe West,Mitundu,May,2024,Beans,3060
Lilongwe,Chitsime,Lilongwe East,Nanjiri,May,2024,Beans,2800
Lilongwe,Chitekwere,Lilongwe East,Nkhoma,May,2024,Beans,1700
Lilongwe,Lobi,Dedza,Thete,May,2024,Beans,
Lilongwe,Mtakataka,Dedza,Mtakataka,May,2024,Beans,
Lilongwe,Linthipe,Dedza,Chimbiya,May,2024,Beans,2288.098
Lilongwe,Bembeke,Dedza,Bembeke Turn off,May,2024,Beans,2650
