ADD,EPA,District ,Market,Month,Year,Wk1,Wk2,Wk3,Wk4,Wk5,Commodity,Price
Salima,Mwansambo,Nkhotakota,Mwansambo,February,2024,850,850,850,811.76,,Maize,840.44
Salima,Tembwe,Salima,Salima,February,2024,800,816.33,740,800,,Maize,789.0825
Kasungu,Chikwatula,Ntchisi,Ntchisi,February,2024,,,,,,Maize,#DIV/0!
Kasungu,Malomo,Ntchisi,Malomo,February,2024,,,,,,Maize,#DIV/0!
Kasungu,Nachisaka,Dowa East,Dowa,February,2024,700,700,700,750,,Maize,712.5
Kasungu,Mponela,Dowa West,Mponela,February,2024,,,,,,Maize,#DIV/0!
Kasungu,Madisi,Dowa West,Madisi,February,2024,,,,,,Maize,#DIV/0!
Kasungu,Bowe,Dowa West,Bowe,February,2024,,,,,,Maize,#DIV/0!
Kasungu,Nambuma,Dowa West,Nambuma,February,2024,,,,,,Maize,#DIV/0!
Kasungu,Santhe,Kasungu,Santhe,February,2024,730,750,730,,,Maize,736.6666667
Kasungu,Chipala,Kasungu,Kasungu,February,2024,750,750,730,,,Maize,743.3333333
Kasungu,Chamama,Kasungu,Chamama,February,2024,750,680,700,,,Maize,710
Kasungu,Kaluluma,Kasungu,Nkhamenya,February,2024,600,600,,,,Maize,600
Kasungu,Kaluluma,Kasungu,Chatoloma,February,2024,648.91,624.67,618,,,Maize,630.5266667
Kasungu,Mkanda,Mchinji,Mkanda,February,2024,,,,,,Maize,#DIV/0!
Kasungu,Zulu,Mchinji,Mchinji,February,2024,,,,,,Maize,#DIV/0!
Lilongwe,Chilaza,Lilongwe West,Msundwe,February,2024,,,,,,Maize,#DIV/0!
Lilongwe,Demera,Lilongwe West,Kasiya,February,2024,,,,,,Maize,#DIV/0!
Lilongwe,Chitsime,Lilongwe East,Lilongwe,February,2024,,,,,,Maize,#DIV/0!
Lilongwe,Mitundu,Lilongwe West,Mitundu,February,2024,800,750,800,650,,Maize,750
Lilongwe,Chitsime,Lilongwe East,Nanjiri,February,2024,760,760,760,720,,Maize,750
Lilongwe,Chitekwere,Lilongwe East,Nkhoma,February,2024,,,,,,Maize,#DIV/0!
Lilongwe,Lobi,Dedza,Thete,February,2024,,,,,,Maize,#DIV/0!
Lilongwe,Mtakataka,Dedza,Mtakataka,February,2024,,,,,,Maize,#DIV/0!
