ADD,EPA,District ,Market,Month,Commodity,Price
Lilongwe,Chitsime,Lilongwe East,Lilongwe,March,Cow peas,1750
Lilongwe,Mitundu,Lilongwe West,Mitundu,March,Cow peas,1450
Lilongwe,Chitsime,Lilongwe East,Nanjiri,March,Cow peas,
Lilongwe,Chitekwere,Lilongwe East,Nkhoma,March,Cow peas,
Lilongwe,Lobi,Dedza,Thete,March,Cow peas,1500
Lilongwe,Mtakataka,Dedza,Mtakataka,March,Cow peas,
Lilongwe,Linthipe,Dedza,Chimbiya,March,Cow peas,1200.31
Lilongwe,Bembeke,Dedza,Bembeke Turn off,March,Cow peas,780
Lilongwe,Njolomole,Ntcheu,Lizulu,March,Cow peas,
Lilongwe,Sharpevale,Ntcheu,Sharpevaley,March,Cow peas,
Lilongwe,Tsangano,Ntcheu,Tsangano Turn off,March,Cow peas,
Lilongwe,Nsipe,Ntcheu,Ntcheu,March,Cow peas,
Lilongwe,Manjawira,Ntcheu,Ntonda,March,Cow peas,
Machinga,Bazale,Balaka,Balaka,March,Cow peas,1461.78
Machinga,Chikweo,Machinga,Ntaja,March,Cow peas,
Machinga,Mpiya,Machinga,Namwera,March,Cow peas,
Machinga,Mbwadzulu,Mangochi,Monkey Bay,March,Cow peas,2153.35
Machinga,Nasenga,Mangochi,Mangochi,March,Cow peas,2409.87
Machinga,Mtubwi,Machinga,Liwonde,March,Cow peas,1833.33
Machinga,Mpokwa,Zomba,Jali,March,Cow peas,
Machinga,Ngwelero,Zomba,Mayaka,March,Cow peas,
Machinga,Thondwe,Zomba,Zomba,March,Cow peas,
Machinga,Thondwe,Zomba,Thondwe,March,Cow peas,
Blantyre,Mbulumbuzi,Chiradzulu,Chiradzulu,March,Cow peas,1500.36
Blantyre,Lunzu,Blantyre,Lunzu,March,Cow peas,
Blantyre,Mtonda,Blantyre,Limbe,March,Cow peas,830.46
Blantyre,Dwale,Thyolo,Bvumbwe,March,Cow peas,1225.44
Blantyre,Nkhonjeni,Thyolo,Luncheza,March,Cow peas,900
Blantyre,Mwanza,Mwanza,Mwanza,March,Cow peas,1000
Blantyre,Neno,Neno,Neno,March,Cow peas,1200
Blantyre,Nkhulambe,Phalombe,Chiringa,March,Cow peas,
Blantyre,Naminjiwa,Phalombe,Phalombe,March,Cow peas,
Blantyre,Milonde,Mulanje,Muloza,March,Cow peas,1849.33
Shirevalley,Mitole,Chikwawa,Chikhwawa,March,Cow peas,1507.98
Shirevalley,Mikalango,Chikwawa,Ngabu,March,Cow peas,1524.73
Shirevalley,Mbewe,Chikwawa,Nchalo,March,Cow peas,1591.0875
Shirevalley,Magoti,Nsanje,Bangula,March,Cow peas,1200
Shirevalley,Zunde,Nsanje,Nsanje,March,Cow peas,1200.29
Karonga,Misuku,Chitipa,Misuku,April,Cow peas,
Karonga,Kavukuku,Chitipa,Nthalire,April,Cow peas,
Karonga,Lufita,Chitipa,Chitipa,April,Cow peas,
Karonga,Mpata,Karonga,Karonga,April,Cow peas,
Karonga,Vinthukutu,Karonga,Chilumba,April,Cow peas,
Mzuzu,Bolero,Rumphi,Rumphi,April,Cow peas,
Mzuzu,Katowo,Rumphi,Hewe,April,Cow peas,
Mzuzu,Emsizini,Mzimba North,Mzuzu,April,Cow peas,
Mzuzu,Kazomba,Mzimba South,Mzimba,April,Cow peas,
Mzuzu,Mbawa,Mzimba South,Embangweni,April,Cow peas,
Mzuzu,Champhira,Mzimba South,Jenda,April,Cow peas,
Mzuzu,Mpamba,Nkhata Bay,Mpamba,April,Cow peas,
Mzuzu,Nkhata Bay,Nkhata Bay,Nkhata Bay,April,Cow peas,
Mzuzu,Chintheche,Nkhata Bay,Chintheche,April,Cow peas,
Salima,Nkhunga,Nkhotakota,Dwangwa,April,Cow peas,1500
Salima,Linga,Nkhotakota,Nkhotakota,April,Cow peas,
Salima,Mwansambo,Nkhotakota,Mwansambo,April,Cow peas,
Salima,Tembwe,Salima,Salima,April,Cow peas,
Kasungu,Chikwatula,Ntchisi,Ntchisi,April,Cow peas,
Kasungu,Malomo,Ntchisi,Malomo,April,Cow peas,
Kasungu,Nachisaka,Dowa East,Dowa,April,Cow peas,
Kasungu,Mponela,Dowa West,Mponela,April,Cow peas,
Kasungu,Madisi,Dowa West,Madisi,April,Cow peas,
Kasungu,Bowe,Dowa West,Bowe,April,Cow peas,
Kasungu,Nambuma,Dowa West,Nambuma,April,Cow peas,
Kasungu,Santhe,Kasungu,Santhe,April,Cow peas,
Kasungu,Chipala,Kasungu,Kasungu,April,Cow peas,
Kasungu,Chamama,Kasungu,Chamama,April,Cow peas,
Kasungu,Kaluluma,Kasungu,Nkhamenya,April,Cow peas,
Kasungu,Kaluluma,Kasungu,Chatoloma,April,Cow peas,
